PLAYER,RAT,PASSED,CATEGORY,RANK,STAT_TOTAL,PASSED_TOTAL,STAT_CODE,LOGO_URL
Brook Lopez,,Ben Wallace,Blocks,14,2139,2137,BLK,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Jrue Holiday,,Muggsy Bogues,Assists,27,6727,6726,AST,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
Nikola Jokic,,Baron Davis,Assists,42,6031,6025,AST,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Draymond Green,,Jeff Hornacek,Assists,62,5283,5281,AST,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Clint Capela,,Rick Mahorn,Blocks,103,1008,1007,BLK,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
Brook Lopez,,Rick Mahorn,Rebounds,124,6964,6957,REB,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Karl-Anthony Towns,,Andre Miller,Scoring,126,16283,16278,PTS,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
TJ McConnell,,Wes Unseld,Assists,147,3829,3822,AST,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
Draymond Green,,Tristan Thompson,Rebounds,164,6430,6428,REB,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Nikola Jokic,,"A.C. Green, Michael Cooper",Steals,170,1034,1033,STL,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Mitchell Robinson,,"Stromile Swift, Nerlens Noel",Blocks,194,685,683,BLK,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
Bam Adebayo,,"Rich Kelley, Dan Schayes",Rebounds,221,5680,5678,REB,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
Jamal Murray,,"Nikola Vucevic, Gary Grant",Assists,241,3017,3015,AST,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Andrew Wiggins,,"Eddie Jones, Andris Biedrins",Blocks,242,581,580,BLK,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
Pascal Siakam,,"Mickey Johnson, Johnny Newman",Scoring,249,12755,12748,PTS,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
